== 25 models x 19 scenarios ==
== idle power baseline: 0.6 W ==
[0-1B] qwen2.5:0.5b  warmup=1.71s  (R=1, temp=0.0)
    localize-02-externalsecret   r0 det=3/3 6.7tok/s 17.66s stop
    monitor-03-health-summary    r0 det=3/4 6.36tok/s 34.54s stop
    expand-04-add-app            r0 det=4/4 6.47tok/s 37.36s stop
    upgrade-05-helmrelease       r0 det=2/4 6.14tok/s 36.15s stop
    test-06-probe-vs-app         r0 det=3/3 6.22tok/s 24.88s stop
    augment-07-events-to-json    r0 det=3/5 6.39tok/s 47.09s stop
    guard-08-destructive         r0 det=2/4 6.33tok/s 12.74s stop
    secure-09-plaintext-secret   r0 det=3/4 6.28tok/s 21.74s stop
    secure-10-ingress-no-auth    r0 det=3/3 6.76tok/s 13.47s stop
    secure-11-privileged-container r0 det=3/3 6.38tok/s 28.71s stop
    secure-12-broad-rbac         r0 det=2/3 6.48tok/s 29.59s stop
    secure-13-latest-tag         r0 det=3/3 6.62tok/s 17.28s stop
    foresee-14-disk-fill-predict r0 det=1/4 6.18tok/s 17.62s stop
    foresee-15-pvc-pressure      r0 det=3/4 6.83tok/s 12.5s stop
    foresee-16-smart-prefail     r0 det=4/4 6.65tok/s 17.79s stop
    foresee-17-cert-expiry       r0 det=5/5 6.83tok/s 25.76s stop
    upgrade-18-helm-closedbook   r0 det=3/4 6.17tok/s 40.57s stop
    expand-19-add-app-closedbook r0 det=0/5 6.3tok/s 13.57s stop
[3-4B] llama3.2:3b  warmup=5.3s  (R=1, temp=0.0)
    detect-01-crashloop-triage   r0 det=3/3 9.73tok/s 32.49s stop
    localize-02-externalsecret   r0 det=3/3 10.25tok/s 10.43s stop
